review_id,customer_id,product_id,category,review_text,rating,sentiment,polarity
1,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2824,Electronics,Each cause bill scientist nation opportunity all behavior discussion own night respond red information last everything thank serve.,3,Positive,0.2
2,571aa876-6c30-4511-b2b9-437a28df6ec4,5012,Books,Choice whatever from behavior benefit suggest page southern role.,1,Neutral,0.0
3,ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,9935,Electronics,Bad fall pick those gun court attorney product significant world talk term herself law street class great prove.,4,Positive,0.158
4,a5e5a5ab-aefc-4ad8-afc8-9849b3aa7efe,1520,Electronics,Participant commercial rock clear here writer.,2,Neutral,0.05
5,3838b326-8e94-4239-b02b-61c4a3d70628,4811,Home,Successful simply director allow firm environment decision wall then fire pretty how trip learn enter east no.,1,Positive,0.2
6,6dadd6c7-95a7-4d79-bf3c-4c06434308bc,4257,Home,Human despite young meeting before another body physical society instead as high you more wife team activity result.,2,Positive,0.152
7,c0398710-8976-4334-a281-7efdae849217,8359,Home,Shoulder future fall citizen about reveal rest will seven medical blood.,1,Neutral,0.0
8,a39231a7-d777-4477-8c66-e0a8a013ac6e,3615,Sports,Participant check several much single morning a food affect upon these story film around there water.,3,Neutral,-0.036
9,d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,3547,Books,Within mouth call process water close month parent who up sense ready require.,3,Positive,0.2
10,a65e688e-abf3-4d39-bec2-1bbe66245bfa,2674,Electronics,Just military building different full open discover detail audience piece director town teacher audience.,1,Neutral,0.062
11,7c441fe7-ab42-40a7-874a-493b3ceddf2d,6881,Clothing,Much rich think office drug list imagine behind probably great in tell approach president.,3,Positive,0.258
12,6712303a-0f84-4fef-9931-e9eea56c0941,1711,Sports,Song body court movie cell contain leg themselves away space task better present music address behavior.,1,Positive,0.25
13,2a935d62-3c83-4dc0-9944-1fa5c0e9ab30,7201,Electronics,Magazine degree husband around her world enter six lawyer institution whatever yet new responsibility choice father why.,3,Positive,0.136
14,0f9aea4b-8acd-4e10-bc59-4585944528c0,6925,Home,Arm once me system church whether bag control organization push dog.,1,Neutral,0.0
15,91d63f78-e3e9-4e99-b10c-718b1eb0e38a,1750,Books,Often always bank price north first end prove fire enter capital population lead upon very act perform none.,3,Positive,0.225
16,369147eb-89a2-488b-92c1-36e019985f15,2307,Books,Enter value thing these hard citizen street region particularly would pressure.,4,Neutral,-0.063
17,8dfa6a56-d12d-4c9a-aaf9-15310200b1f0,5554,Sports,Use billion there enough threat score choice example decision garden reach table measure economy traditional anything plant.,3,Neutral,0.0
18,00e85ece-0b49-452d-86d4-83f3d450281c,3664,Clothing,Side PM energy scientist necessary into act away third tough nation strong old.,2,Neutral,0.029
19,0ab54bde-20a0-4502-ae06-809725e97977,5374,Electronics,Half value win always group radio project government nice themselves wind see understand door class son.,2,Positive,0.411
20,0658663a-698c-406f-a1a4-7e102d534dd0,9751,Books,Say forward us soon ten specific environment skin.,4,Neutral,0.0
21,09e9db0a-df46-4290-a1ee-411a1bac27a7,7216,Clothing,Develop staff least figure somebody dinner age cover foreign ten whom evidence political hundred wonder movie voice boy wife condition while.,5,Negative,-0.106
22,98b8e4cc-1bc0-44fc-89cb-394243f59a85,4598,Clothing,Generation skill job worker break tonight couple and job mind southern rather vote say culture issue we TV perhaps professional by tonight medical.,1,Neutral,0.033
23,6703b636-5380-4904-a88c-7015aab97e49,4752,Electronics,Never court professor here security community notice image street fight decision size parent focus kid put memory soldier where.,3,Neutral,0.0
24,15b52908-a8aa-4158-ab70-e525bc67f831,7572,Clothing,Middle plan friend stand seem pull different current.,2,Neutral,0.0
25,fbe33b24-3eae-4032-8bd4-a9900640be0f,6155,Books,Particularly shoulder lay though offer responsibility himself hundred challenge reach throughout team those sing despite sound receive let newspaper true building.,4,Positive,0.306
26,aae65fc1-76f2-4bfe-8d29-a36f222282e1,7482,Sports,Write other wear through partner rest measure store natural today season listen.,3,Neutral,-0.012
27,d701410d-3f4b-4a70-8074-718e425a609f,3287,Books,She miss phone ever back experience even floor music catch discuss really relationship ask imagine my indeed deal.,5,Neutral,0.1
28,c51155ff-e7a3-4e81-a3b4-c08b6b8e869f,9830,Clothing,Watch affect thing offer local wall fear hope through structure Mrs same son today major event magazine home protect something right subject try wonder move.,5,Neutral,0.036
29,907bfe36-9786-48f8-a4de-82e6e82c7d7b,8019,Home,Base investment term consider employee force lawyer front.,3,Negative,-0.8
30,c083b73a-473b-4358-a10e-6a64e1301617,4593,Books,Edge bank affect much yourself glass practice sit prepare senior wear current after charge call prove nor design.,4,Neutral,0.1
31,5e6fea07-c453-4f1d-8199-2fdfb31022f0,2489,Electronics,Paper white responsibility sing clearly find official.,2,Neutral,0.05
32,ad66a1bd-9367-4a02-8fdc-6e1bedcb8cb6,3621,Sports,However resource away real physical big significant sure outside building worker site girl into have media game support.,1,Neutral,0.079
